session_id,policy,n_pairs,median_reuse_ratio,median_invalidated_suffix,n_tools_universe
add41972933fbfdf,Original,1,0.9908,190,10
add41972933fbfdf,Stable Full,1,0.9901,203,10
add41972933fbfdf,Shuffled Full,1,0.7399,5355,10
add41972933fbfdf,Frozen Thin,1,0.9876,198,10
b635c28b273b8d3d,Original,4,0.9895,219.5,10
b635c28b273b8d3d,Stable Full,4,0.9893,224.5,10
b635c28b273b8d3d,Shuffled Full,4,0.734,5521.5,10
b635c28b273b8d3d,Frozen Thin,4,0.9869,218.5,10
41b8c68f96977436,Original,3,0.9445,254,5
41b8c68f96977436,Stable Full,3,0.9428,261,5
41b8c68f96977436,Shuffled Full,3,0.3016,3557,5
41b8c68f96977436,Frozen Thin,3,0.8958,253,5
93beabc70f7a1a6c,Original,1,0.9621,170,5
93beabc70f7a1a6c,Stable Full,1,0.9605,177,5
93beabc70f7a1a6c,Shuffled Full,1,0.3428,2945,5
93beabc70f7a1a6c,Frozen Thin,1,0.9194,164,5
6372574a03237604,Original,1,0.9894,219,10
6372574a03237604,Stable Full,1,0.9895,216,10
6372574a03237604,Shuffled Full,1,0.7388,5384,10
6372574a03237604,Frozen Thin,1,0.9868,211,10
6957e25295b6f726,Original,1,0.9882,243,10
6957e25295b6f726,Stable Full,1,0.9884,240,10
6957e25295b6f726,Shuffled Full,1,0.7388,5392,10
6957e25295b6f726,Frozen Thin,1,0.9852,234,10
01a50adb6582948c,Original,1,0.9895,217,10
01a50adb6582948c,Stable Full,1,0.9896,214,10
01a50adb6582948c,Shuffled Full,1,0.7389,5382,10
01a50adb6582948c,Frozen Thin,1,0.9869,209,10
a0b14b4f49e6678c,Original,2,0.9892,208.0,8
a0b14b4f49e6678c,Stable Full,2,0.9891,209.0,8
a0b14b4f49e6678c,Shuffled Full,2,0.7936,3961.0,8
a0b14b4f49e6678c,Frozen Thin,2,0.9878,201.0,8
d988af7caa72f3ca,Original,1,0.9746,533,10
d988af7caa72f3ca,Stable Full,1,0.9739,546,10
d988af7caa72f3ca,Shuffled Full,1,0.7278,5698,10
d988af7caa72f3ca,Frozen Thin,1,0.9664,540,10
84b07af25ed93a81,Original,1,0.9913,179,10
84b07af25ed93a81,Stable Full,1,0.9907,192,10
84b07af25ed93a81,Shuffled Full,1,0.7403,5344,10
84b07af25ed93a81,Frozen Thin,1,0.9891,178,10
6080842f6a5ba934,Original,1,0.9931,142,10
6080842f6a5ba934,Stable Full,1,0.9932,139,10
6080842f6a5ba934,Shuffled Full,1,0.7416,5307,10
6080842f6a5ba934,Frozen Thin,1,0.9905,149,10
b377b326e5a4443a,Original,1,0.993,143,10
b377b326e5a4443a,Stable Full,1,0.9924,156,10
b377b326e5a4443a,Shuffled Full,1,0.7416,5308,10
b377b326e5a4443a,Frozen Thin,1,0.9905,149,10
50f3127f87f75782,Original,2,0.9922,161.0,10
50f3127f87f75782,Stable Full,2,0.9923,158.0,10
50f3127f87f75782,Shuffled Full,2,0.7381,5406.0,10
50f3127f87f75782,Frozen Thin,2,0.9903,156.0,10
8aa7a5c223c28505,Original,1,0.9734,557,10
8aa7a5c223c28505,Stable Full,1,0.9736,554,10
8aa7a5c223c28505,Shuffled Full,1,0.7269,5722,10
8aa7a5c223c28505,Frozen Thin,1,0.965,564,10
